ID,Username,Display name,Followers,Image,Bio,Website
1619723769282703360,Madissa_eth,Madissa,62353,https://pbs.twimg.com/profile_images/1961820527292817408/bu3iCg98_400x400.jpg,"@CoinMarketCap creator | @DegodsNFT holder  |

 My tg : @Madissa7",
1589239168860758017,XDeGods,X+ 🏴‍☠️,11529,https://pbs.twimg.com/profile_images/1765921509879537664/dAebweUc_400x400.jpg,X+ is a private club of DeGods 🐳s and builders who have the will and means to shape web3 and beyond.,https://linktr.ee/xdegods
1369465281882386434,Sango24931697,Sango,9138,https://pbs.twimg.com/profile_images/2051717916714991616/_pH9NHC0_400x400.jpg,DeGods y00ts OMB MidEvils OKB THC Labz GOTM Labs Borderline BTC Maxi,
983810090326200320,Lazjoh85,KingLaz ⓨ III,7800,https://pbs.twimg.com/profile_images/1926984593900457984/PuCX3BrU_400x400.jpg,Let Your Nuts Hang. Degod minter/holder +⚡️Integrity + DeBozos,
3310330326,DJvAPED,DJ vAPED ⚡️🎧⚡️,7714,https://pbs.twimg.com/profile_images/2048594607483547648/BoW-nYUZ_400x400.jpg,"vAPED Vibes, Dope Beats & NFTs | Progressive, Melodic House & Techno | Film & TV Producer | EAPES Ambassador | #EAPES #DeGods #y00ts #AKCB @AisarLabs",http://www.youtube.com/@djvaped
1518791166463938565,de_dougdotsol,de_doug.sol,7222,https://pbs.twimg.com/profile_images/2050401591430385664/oJMzV9BK_400x400.jpg,"Quant Talent Acquisition Partner
Community Manager @DeGodsNFT 
🇭🇰",https://degods.com/u/dougcc
1026515020526628864,AshkanAtashkar,alexatashkar.eth,5969,https://pbs.twimg.com/profile_images/1837159023273025536/dcSI8EGE_400x400.jpg,"Global Speaker & Life Coach.
NFT Collector. Member of BAYC, MAYC, BAKC, AZUKI, BEANS, DEGODS & NBA Top Shot.",
1702221985882005504,CryptoNaptic,Naptic💀,5589,https://pbs.twimg.com/profile_images/2005604636187926528/6cj4QBF3_400x400.jpg,@DeGodsNFT 💀 @Azuki ⛩️ @LoadedLions_CDC 🦁 @BasedAngelsBTC 🪽  @Y00tsNFT 👊🏼 @MidEvilsNFT 🏰 09BTC 2021NFTs OMNI⛓️CHAIN,
1297812905920929792,NftTcollector,NftCollector,5094,https://pbs.twimg.com/profile_images/1886839756191145984/Pg85Omb7_400x400.jpg,"Nft Collector✨|| Madlads Holder|| 🔥|| Degods Holder|| 🔥|| Azuki Holder|| 🔥....NFT Alpha Caller 

✏️Sketch Artist✏️",
1063610147375742976,MrScribbler2000,SCRIBBLER | Evo Labs 🛠🎨🔜,4625,https://pbs.twimg.com/profile_images/1965830554584256512/OPkoGsGV_400x400.jpg,"Here to retire my bloodline 😈
 | @MadeByEVO | @DeGodsNFT | @DrillClubNFT 🔥 | @sujiko_perps 🍣",
1553060999993110529,jackkksol,Ja©k.NFT,3486,https://pbs.twimg.com/profile_images/1891469613944225792/jX2VUdgg_400x400.jpg,"Experienced Mod & Collab Manager • Dm me for Hire • NFT Adviser • CM
@DeGodsNFT @y00tsNFT @MBMweb3 @Dres_Empire @SolNftFinder @solfare",
1748140346721349632,Harry_WebX,Harry,2936,https://pbs.twimg.com/profile_images/2021844048294920192/LwUGJsIm_400x400.jpg,Azuki 🧬 | Stoned Ape Crew 🦍 | DeGods 🏛️ OG on $SOL & $SOMI Built in the trenches of Web3,
1428050971834290178,0xDouglas_,Douglas Cox X+,2491,https://pbs.twimg.com/profile_images/1805324147255656450/AFue1Puu_400x400.jpg,"Holder: @XDeGods @Oligarchxyz @DeadKingSociety @Zuciety

#ETH #SOL #XRP #BTC

🟦 https://t.co/nNttsSWcbp",
1537050757945610244,AJtrackcomp,AJ 🧸 TRACK COMP,1675,https://pbs.twimg.com/profile_images/2004983893124841472/rdNDkkVA_400x400.jpg,"@degodsnft @y00tsnft degod mode            
                                                                      building https://t.co/qAQSJUsIOA 4 ai sale",http://trackcompetition.com
